data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,,,4455.1000000065005,4455.1000000065005,8609.0,2528.0,,,0.0,1.0,702.0,6.0,4481751.0,4358921.0,37089.0,30017.0,0.0,,15838.0,4535.0,4515.0,4514.0,2539.0,35.0,4455.0,5083.0,4387.0,4455.0,4455.0,4455.0,4455.0,15936.0,15838.0,2951.0,2538.0,2538.0,25.0,,,1540685705.263005,15839.0,15838.0,4535.0,4515.0,1523.0,4514.0,0.0,0.0,236179.0,327467.0,1.0,4455.0,5084.0,4387.0,4455.0,4455.1000000065005,4455.0,21504.0,21519.0,47.442680776,44881.0,2056892.0,518172.0,2229529.0,14400.0,0.66,0.87,0.28,2028.886,4737.535,8343.636999999999,4737.544,8343.636999999999,10918.0,0.31,0.9,15936.0,15838.0,15839.0,0.0,-1.0,-1.0,1.0,4400.0,172.0,154.0,172.0,143.0,1.0,28.0,99999.0,1.0,46.0,94.0,-1.0,77.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,33381.0,0.0,11772.0,11772.0,13900.0,11300.0,11300.0,11300.0,11700.0,9000,9000,1540685810,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_BS_3e3cff55fcb1f381d5d9fa304e288c17,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_BS_3e3cff55fcb1f381d5d9fa304e288c17,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM4-03-192.168.11.122,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,27,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4232.9999999929,4232.9999999929,7548.0,2376.0,,,0.0,1.0,709.0,6.0,4455563.0,4331630.0,38314.0,31837.0,0.0,,15319.0,4285.0,4266.0,4265.0,2386.0,20.0,4233.0,4942.0,4165.0,4233.0,4233.0,4233.0,4233.0,15441.0,15320.0,2804.0,2385.0,2385.0,24.0,,,1540685838.367353,15320.0,15320.0,4285.0,4266.0,1525.0,4265.0,0.0,0.0,231145.0,334643.0,1.0,4233.0,4943.0,4166.0,4233.0,4232.9999999929,4233.0,21652.0,19759.0,45.6984273821,15449.0,2029720.0,518172.0,2229529.0,13500.0,0.66,0.87,0.16,2512.958,4602.838,8250.322,4602.846,38876.273,10698.0,0.31,0.9,15441.0,15320.0,15320.0,0.0,-1.0,-1.0,1.0,4300.0,221.0,157.0,221.0,162.0,1.0,58.0,99999.0,1.0,46.0,94.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,31523.0,0.0,11156.0,11156.0,13500.0,9500.0,9500.0,10100.0,10800.0,9000,9000,1540685946,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_6P_b76bd50259dbb43f49858fc5c7b6bec2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_6P_b76bd50259dbb43f49858fc5c7b6bec2,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM2-06-192.168.11.104,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,27,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4232.0000000036,4232.0000000036,7123.0,2368.0,,,0.0,1.0,704.0,6.0,4455808.0,4331607.0,38117.0,31068.0,0.0,,14186.0,4293.0,4273.0,4273.0,2382.0,13.0,4232.0,5047.0,4185.0,4232.0,4232.0,4231.0,4232.0,14268.0,14186.0,2797.0,2379.0,2379.0,23.0,,,1540685918.996509,14187.0,14186.0,4293.0,4274.0,1526.0,4273.0,0.0,0.0,248816.0,366495.0,1.0,4232.0,5047.0,4185.0,4232.0,4232.0000000036,4232.0,20276.0,16180.0,38.828893688499996,15450.0,2029673.0,518172.0,2229487.0,12100.0,0.66,0.87,0.15,1807.749,4794.7840000000015,7832.387,4794.791,32447.947,10457.0,0.31,0.9,14269.0,14186.0,14187.0,0.0,-1.0,-1.0,1.0,4200.0,215.0,154.0,215.0,162.0,1.0,52.0,99999.0,1.0,46.0,94.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,29763.0,0.0,10063.0,10063.0,11900.0,9000.0,9000.0,9000.0,9900.0,9000,9000,1540686014,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_JA_c626a978af62a85f985f95e3469ea3a0,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_JA_c626a978af62a85f985f95e3469ea3a0,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM1-08-192.168.11.95,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,27,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4309.900000000201,4309.900000000201,5742.0,2423.0,,,0.0,1.0,703.0,6.0,4444025.0,4319816.0,39489.0,31849.0,0.0,,14794.0,4372.0,4353.0,4352.0,2446.0,24.0,4309.0,4979.0,4253.0,4309.0,4309.0,4309.0,4309.0,14886.0,14794.0,2895.0,2443.0,2443.0,26.0,,,1540709718.77023,14795.0,14794.0,4372.0,4353.0,1524.0,4352.0,0.0,0.0,236875.0,349160.0,1.0,4310.0,4979.0,4254.0,4310.0,4309.900000000201,4310.0,21184.0,17279.0,40.430510060799996,15451.0,2029357.0,516081.0,2217845.0,12900.0,0.66,0.87,0.15,1943.964,4713.807,8254.562,4713.815,38037.9020000019,10842.0,0.31,0.9,14887.0,14794.0,14795.0,0.0,-1.0,-1.0,1.0,4300.0,221.0,158.0,221.0,164.0,1.0,56.0,99999.0,1.0,46.0,94.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,30083.0,0.0,10640.0,10640.0,12900.0,6400.0,6400.0,6400.0,6400.0,9000,9000,1540709821,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_ZD_8928357e45aad56283e51dbfb0fc59fd,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_ZD_8928357e45aad56283e51dbfb0fc59fd,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM4-08-192.168.11.126,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,28,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4009.4000000008,4009.4000000008,5379.0,2276.0,,,0.0,1.0,703.0,6.0,4384559.0,4355275.0,37056.0,31845.0,0.0,,15095.0,4077.0,4059.0,4059.0,2287.0,15.0,4009.0,4779.0,3955.0,4009.0,4009.0,4009.0,4009.0,15179.0,15095.0,2744.0,2286.0,2286.0,25.0,,,1540711342.199594,15096.0,15095.0,4078.0,4059.0,1522.0,4059.0,0.0,0.0,259487.0,339725.0,1.0,4009.0,4780.0,3955.0,4009.0,4009.4000000008,4009.0,19173.0,15830.0,41.9448860625,44877.0,2061621.0,516081.0,2215746.0,13000.0,0.66,0.87,0.15,1751.953,4779.34,8131.836999999998,4779.348,38079.501000000004,10661.0,0.31,0.9,15180.0,15095.0,15096.0,0.0,-1.0,-1.0,1.0,4100.0,199.0,160.0,199.0,148.0,1.0,50.0,99999.0,1.0,46.0,93.0,-1.0,77.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,27060.0,0.0,10594.0,10594.0,13000.0,5900.0,5900.0,5900.0,5900.0,9000,9000,1540711441,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_W4_1a99318ec34df92ce4a77c1736631e19,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_W4_1a99318ec34df92ce4a77c1736631e19,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM4-02-192.168.11.120,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,28,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,3921.1999999970003,3921.1999999970003,5220.0,2203.0,,,0.0,1.0,699.0,6.0,4347845.0,4311966.0,38526.0,31942.0,0.0,,14380.0,3993.0,3972.0,3971.0,2212.0,13.0,3921.0,4675.0,3867.0,3921.0,3921.0,3921.0,3921.0,14473.0,14380.0,2678.0,2211.0,2211.0,27.0,,,1540713896.3538618,14381.0,14381.0,3994.0,3973.0,1520.0,3972.0,0.0,0.0,257940.0,354078.0,1.0,3921.0,4675.0,3868.0,3921.0,3921.1999999970003,3921.0,19059.0,15920.0,42.385516506900004,15451.0,2025956.0,516081.0,2215788.0,13000.0,0.66,0.87,0.14,1941.8970000000002,4853.727,8603.458,4853.735,38505.502,11033.0,0.31,0.9,14474.0,14381.0,14381.0,0.0,-1.0,-1.0,1.0,3900.0,187.0,155.0,187.0,144.0,1.0,42.0,99999.0,1.0,46.0,93.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,26547.0,0.0,10590.0,10590.0,13000.0,5800.0,5800.0,5800.0,5800.0,9000,9000,1540713996,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_KC_70b5c3da5326fa395ac59e4c8097ca8f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_KC_70b5c3da5326fa395ac59e4c8097ca8f,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM1-02-192.168.11.89,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,28,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4269.0000000002,4269.0000000002,7859.0,2485.0,,,0.0,1.0,702.0,6.0,4474155.0,4343192.0,40135.0,31147.0,0.0,,15134.0,4338.0,4301.0,4300.0,2497.0,10.0,4269.0,5057.0,4203.0,4269.0,4269.0,4269.0,4269.0,15265.0,15134.0,2969.0,2495.0,2495.0,26.0,,,1540729776.8318892,15135.0,15134.0,4339.0,4301.0,1527.0,4301.0,0.0,0.0,225739.0,343335.0,1.0,4269.0,5058.0,4203.0,4269.0,4269.0000000002,4269.0,22305.0,20240.0,46.7868700878,44880.0,2058373.0,516081.0,2217845.0,13600.0,0.66,0.87,0.28,2670.091,4793.469,8236.487,4793.477,8236.487,10667.0,0.31,0.9,15265.0,15135.0,15135.0,0.0,-1.0,-1.0,1.0,4300.0,221.0,151.0,221.0,164.0,1.0,56.0,99999.0,1.0,46.0,93.0,-1.0,77.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,34141.0,0.0,11032.0,11032.0,13600.0,10400.0,10400.0,10400.0,11000.0,9000,9000,1540729885,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_XZ_ff56eed6cf31a5afef3635f2d30ac984,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_XZ_ff56eed6cf31a5afef3635f2d30ac984,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM1-01-192.168.11.87,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,28,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4434.4000000001,4434.4000000001,5916.0,2527.0,,,0.0,1.0,706.0,6.0,4447744.0,4323498.0,39633.0,31421.0,0.0,,15259.0,4518.0,4483.0,4483.0,2539.0,14.0,4434.0,5047.0,4370.0,4434.0,4434.0,4434.0,4434.0,15380.0,15260.0,2948.0,2537.0,2537.0,25.0,,,1540773790.411541,15260.0,15259.0,4518.0,4484.0,1510.0,4483.0,0.0,0.0,233134.0,339550.0,1.0,4434.0,5048.0,4370.0,4434.0,4434.4000000001,4434.0,21605.0,18799.0,43.4180138568,15454.0,2030353.0,516966.0,2220658.0,14200.0,0.66,0.87,0.15,2116.051,4653.59,8457.610999999999,4653.599,38751.873999999996,10845.0,0.31,0.9,15381.0,15260.0,15260.0,0.0,-1.0,-1.0,1.0,4500.0,220.0,157.0,220.0,166.0,1.0,53.0,99999.0,1.0,46.0,94.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,30652.0,0.0,11056.0,11056.0,13400.0,6500.0,6500.0,6500.0,6500.0,9000,9000,1540773894,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_F5_31f84644c268a2f1df4e18d2b3d832b2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_F5_31f84644c268a2f1df4e18d2b3d832b2,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM3-05-192.168.11.112,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,28,10,product27,43,2018,200,Test Complete,18.1
,24.0,,,4235.7999999949,4235.7999999949,7675.0,2436.0,,,0.0,1.0,703.0,6.0,4380695.0,4351369.0,36873.0,31683.0,0.0,,15253.0,4289.0,4263.0,4262.0,2444.0,10.0,4235.0,4896.0,4172.0,4235.0,4235.0,4235.0,4235.0,15351.0,15253.0,2852.0,2444.0,2444.0,25.0,,,1540817889.9072108,15254.0,15254.0,4290.0,4264.0,1506.0,4263.0,0.0,0.0,259182.0,339473.0,1.0,4236.0,4896.0,4172.0,4236.0,4235.7999999949,4236.0,19338.0,18170.0,48.0942297512,44878.0,2055040.0,516966.0,2218601.0,13500.0,0.66,0.87,0.17,1893.6229999999998,4563.152,7688.59,4563.1590000000015,38176.63,10580.0,0.31,0.9,15351.0,15254.0,15254.0,0.0,-1.0,-1.0,1.0,4300.0,196.0,157.0,196.0,147.0,1.0,48.0,99999.0,1.0,46.0,93.0,-1.0,77.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,27333.0,0.0,11243.0,11243.0,12900.0,9700.0,9700.0,10300.0,10800.0,9000,9000,1540817989,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_ZJ_bf4594ead590e7a770dbef539e66f4fe,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_ZJ_bf4594ead590e7a770dbef539e66f4fe,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM4-03-192.168.11.122,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,29,10,product27,44,2018,200,Test Complete,18.1
,24.0,,,4234.2000000062,4234.2000000062,5554.0,2323.0,,,0.0,1.0,704.0,6.0,4451121.0,4327454.0,38189.0,31895.0,0.0,,19297.0,4289.0,4269.0,4269.0,2335.0,33.0,4234.0,4968.0,4172.0,4234.0,4234.0,4234.0,4234.0,19447.0,19297.0,2838.0,2334.0,2334.0,26.0,,,1540826294.261648,19297.0,19297.0,4290.0,4270.0,1507.0,4270.0,0.0,0.0,207212.0,254946.0,1.0,4234.0,4969.0,4172.0,4234.0,4234.2000000062,4234.0,23804.0,20839.0,44.865446716899996,15456.0,2033670.0,516966.0,2220716.0,14000.0,0.66,0.87,0.14,1865.201,4982.13,8762.688,4982.14,35472.626000000004,10050.0,0.31,0.9,19448.0,19298.0,19297.0,0.0,-1.0,-1.0,1.0,4200.0,218.0,163.0,218.0,164.0,1.0,53.0,99999.0,1.0,45.0,91.0,-1.0,77.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,32938.0,0.0,11588.0,11588.0,13700.0,6100.0,6100.0,6100.0,6100.0,9000,9000,1540826400,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_TY_0165652e0fe0743b39034b7b82eb0f72,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_TY_0165652e0fe0743b39034b7b82eb0f72,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,VM3-01-192.168.11.137,https://jet.com/c/beauty/skin-care/9893586599?experienceId=27,29,10,product27,44,2018,200,Test Complete,18.1
